Title,Authors,Publication Date,Keywords,Abstract,Classification,Subject Areas
Projected future changes in mean precipitation over Thailand based on multi-model regional climate simulations of CORDEX Southeast Asia,"Tangang F., Santisirisomboon J., Juneng L., Salimun E., Chung J., Supari S., Cruz F., Ngai S.T., Ngo-Duc T., Singhruck P., Narisma G., Santisirisomboon J., Wongsaree W., Promjirapawat K., Sukamongkol Y., Srisawadwong R., Setsirichok D., Phan-Van T., Aldrian E., Gunawan D., Nikulin G., Yang H.",2019-11-30,"Future projections, General circulation model, Global precipitation, Multi-Model Simulations, Regional circulation, Regional climate models, Regional climate simulation, Southeast Asia, CORDEX Southeast Asia, future projection, precipitation, regional climate simulation","This paper highlights detailed projected changes in rainfall over Thailand for the early (2011–2040), middle (2041–2070) and late (2071–2099) periods of the 21st century under the representative concentration pathways (RCP) 4.5 and RCP 8.5 using the high-resolution multi-model simulations of the Coordinated Regional Climate Downscaling Experiment (CORDEX) Southeast Asia. The ensemble mean is calculated based on seven members consisting of six general circulation models (GCMs) and three regional climate models (RCMs). Generally, the ensemble mean precipitation agrees reasonably well with observations, best represented by the Global Precipitation Climatology Center (GPCC) data, over Thailand during the historical period (1976–2005). However, inter-model variations can be large among ensemble members especially during dry months (December to March) for northern-central-eastern parts, and throughout the year for the southern parts of Thailand. Similarly for future projection periods, inter-model variations in the sign and magnitude of changes exist. The ensemble means of projected changes in rainfall for both RCPs during dry months show distinct contrast between the northern-central-eastern parts and the southern parts of Thailand with generally wetter and drier conditions, respectively. The magnitude of change can be as high as 15% of the historical period, which varies depending on the sub-region, season, projection period, and RCP scenario. In contrast, generally drier conditions are projected during the wet season (June to September) throughout the country for both RCPs where the rainfall reduction can be as high as 10% in some areas. However, the magnitude of projected rainfall changes of some individual models can be much larger than the ensemble means, exceeding 40% in some cases. These projected changes are related to the changes in regional circulations associated with the winter and summer monsoons, which are projected to weaken. The drier (wetter) condition is associated with the enhanced subsidence (rising motion).","fluidex; related topics, weather and cliMaterials Science forecasting, earth sciences",Atmospheric Science
Training Performance Measurement with Schema and Mental Rotation Test,"Kaewprasert S., Jiamsanguanwong A.",2019-01-01,"Cognition, Cognitive schemata, Mental rotation, Performance measurements, Physical training, Schema, Skill acquisition, Skill development, Assembly, Cognition, Mental Rotation, Schema, Skill acquisition, Training",Training was a crucial technique for skill development and basic foundation of learning in manufacturing while the traditional way of training selection was to trial-and-error those training methods to see its performance which take cost and time. The purpose of present study was to preliminary investigate the training performance measurement using cognitive schema and mental rotation test in camera assembly tasks with basic training and physical training condition for production staffs. 180 novice participants performed in this study. Results revealed that both cognitive schema and mental rotation test could significantly distinguish training performance between basic and physical training condition in the same direction. The implication of this study was on the measurement that could shorten the time and reduce cost in estimating the performance of each training method which could be used to support decision making. Discussion was provided.,"fluidex; related topics, Materials Science, engineering","Materials Science (all), Engineering (all)"
Printability Analysis of Flexographic Printing On Compostable Films,"Hansuebsai A., Nawakitwong S.",2019-01-01,"Compostable film, Flexographic printing, Flexography, PBAT, PLA, Print qualities, Printability, Printability analysis, Quality requirements, Water based, compostable films, flexography, PBAT, PLA, printability, water based","As quality requirements of packaging continue to increase, flexographic printing still remains very important. Although many substrates are widely used for flexible packaging, bio-based materials are becoming popular because of their sustainable characteristic that results in the usage of bio-based films as a flexo-packaging substrates. This research focused on the printability of flexography using water based acrylic ink on compostable films produced in Thailand such as PLA/PBAT and PBAT/starch. Surface properties of these films were evaluated to observe how they affected the print quality (density, TVI and tone reproduction) of samples under certain conditions (running speed and anilox line screen). The examined properties of substrates were surface roughness, surface morphology and wettability. Results showed that print quality was influenced by substrates' surface properties and printing conditions. In addition, surface treatment was needed, but having limitation. Images of printed surface from SEM and SPM indicated that fracture surface and void of films could lead to defects of print quality. This suggests that raw materials mixed with additives are necessary to improve ink laid-down and hold-out on the surface.","fluidex; related topics, engineering, arts","Media Technology, Visual Arts and Performing Arts"
Localized delivery of pilocarpine to hypofunctional salivary glands through electrospun nanofiber mats: An ex vivo and in vivo study,"Muthumariappan S., Ng W.C., Adine C., Ng K.K., Davoodi P., Wang C.-H., Ferreira J.N.",2019-02-01,"Animals, Biocompatible Materials, Cell Compartmentation, Cell Death, Drug Delivery Systems, Drug Liberation, Female, Injections, Intradermal, Ki-67 Antigen, Mice, Inbred C57BL, Mice, Inbred ICR, Nanofibers, Pilocarpine, Saliva, Salivary Glands, Treatment Outcome, Drug delivery, Dry mouth, Electrospinning, Hypofunction, Nanofibers, Nanomaterials, Pilocarpine, Salivary glands, Xerostomia","Dry mouth or xerostomia is a frequent medical condition among the polymedicated elderly population. Systemic pilocarpine is included in the first line of pharmacological therapies for xerostomia. However, the efficacy of existing pilocarpine formulations is limited due to its adverse side effects and multiple daily dosages. To overcome these drawbacks, a localized formulation of pilocarpine targeting the salivary glands (SG) was developed in the current study. The proposed formulation consisted of pilocarpine-loaded Poly(lactic-co-glycolic acid) (PLGA)/poly(ethylene glycol) (PEG) nanofiber mats via an electrospinning technique. The nanofiber mats were fully characterized for their size, mesh porosity, drug encapsulation efficiency, and in vitro drug release. Mat biocompatibility and efficacy was evaluated in the SG organ ex vivo, and the expression of proliferation and pro-apoptotic markers at the cellular level was determined. In vivo short-term studies were performed to evaluate the saliva secretion after acute SG treatment with pilocarpine-loaded nanofiber mats, and after systemic pilocarpine for comparison purposes. The outcomes demonstrated that the pilocarpine-loaded mats were uniformly distributed (diameter: 384 ± 124 nm) in a highly porous mesh, and possessed a high encapsulation efficiency (~81%). Drug release studies showed an initial pilocarpine release of 26% (4.5 h), followed by a gradual increase (~46%) over 15 d. Pilocarpine-loaded nanofiber mats supported SG growth with negligible cytotoxicity and normal cellular proliferation and homeostasis. Salivary secretion was significantly increased 4.5 h after intradermal SG treatment with drug-loaded nanofibers in vivo. Overall, this study highlights the strengths of PLGA/PEG nanofiber mats for the localized daily delivery of pilocarpine and reveals its potential for future clinical translation in patients with xerostomia.","coastal engineering, biochemistryistry, chemistry, computer science","Catalysis, Molecular Biology, Spectroscopy, Computer Science Applications, Physical and Theoretical Chemistry, Organic Chemistry, Inorganic Chemistry"
Effect of sustained service loading on post-fire flexural response of reinforced concrete T-beams,"Thongchom C., Lenwari A., Aboutaha R.S.",2019-01-01,"Elevated temperature, Fire damages, Flexural response, Reinforced concrete beams, Service loading, Thermal response, Elevated temperatures, Finite element analysis, Fire damage, Flexural response, Reinforced concrete beams, Sustained service loading, Thermal response","This paper presents the effect of sustained service loading at elevated temperatures on the residual flexural response of reinforced concrete (RC) T-beams after exposed to elevated temperatures of 700 and 900°C (1292 and 1652°F) for 3 hours and then cooled in air. Two beams were subjected to a constant simulated service loading equal to 22.6% of undamaged (unheated) flexural strength, while the counterpart beams were exposed to fire without any applied sustained load. The test results showed that the bottom (tension) steel reinforcements in all fire-exposed beams had experienced the peak temperatures that were higher than a critical value (593°C [1099°F]) before the post-fire static test. The post-fire static test results showed that the sustained loading has a detrimental effect on the post-fire flexural response of RC beams. The effect was more pronounced on the post-fire stiffness and ductility than on strength. In the paper, simplified finite element models for predicting the temperature response and post-fire load-deflection relationships of fire-exposed RC beams are also described.","fluidex; related topics, engineering","Civil and Structural Engineering, Building and Construction"
"Cyclic behaviour and liquefaction resistance of Izumio sands in Osaka, Japan","Mase L.Z., Likitlersuang S., Tobita T.",2019-08-09,"Cyclic stress ratio, Cyclic tri-axial tests, Deviatoric stress, Effective stress paths, Excess pore pressure, Liquefaction resistance, Site investigations, Undisturbed specimens, Unknown","This article presents a study of liquefaction resistance behaviour of sand using a cyclic triaxial test. The site investigation was performed, and frozen undisturbed specimens were taken from the Izumio site in Osaka, Japan. According to the evidence in 1995 Kobe Earthquake, the first two sand layers are vulnerable to undergo liquefaction. The effect of deviatoric stress on liquefaction resistance was focused on in this study. The excess pore pressure ratio, hysteresis loop, and effective stress path from the cyclic triaxial tests were reported. A multispring element model was employed to simulate the soil behaviour under cyclic loading. The results showed that applied deviatoric stress could influence the liquefaction resistance of sandy soil samples. The plots of the cyclic stress ratio versus the number of cycles to generate liquefaction known as a liquefaction resistance curve can be then constructed and compared with other sands.","earth sciences, engineering","Oceanography, Geotechnical Engineering and Engineering Geology, Ocean Engineering"
Fictitious flux observer for sensorless control of synchronous reluctance motors considering magnetic cross -coupling effects,"Pitphibunwong S., Sangwongwanich S.",2019-03-01,"Cross-couplings, Flux observers, Globally stable observer, Operating condition, Rotor position, Sensorless drive, Speed estimator, Synchronous Reluctance motor, Cross coupling effects, Fictitious flux, Globally stable observer, Sensorless control, Synchronous reluctance motor","This paper extends the previously proposed position and speed estimator for synchronous reluctance motors which is based on the fictitious flux concept by taking into consideration the magnetic cross-coupling effects. Definition of the fictitious flux has been modified to include also the cross-coupling flux, and a new expression for the motor model is introduced. A globally stable flux observer is then derived, along with the rotor position and speed estimator by a vector phase-locked loop. Theoretical results are verified by simulation carried out under various operating conditions to confirm stability and performance of the sensorless drive using the proposed estimator.","fluidex; related topics, energy, Mathematics, engineering","Energy Engineering and Power Technology, Renewable Energy, Sustainability and the Environment, Control and Optimization, Electrical and Electronic Engineering"
Electrochemical investigation of amino acids Parkia seeds using the composite electrode based on copper/carbon nanotube/nanodiamond,"Babadi F.E., Hosseini S., Shavandi A., Moghaddas H., Shotipruk A., Kheawhom S.",2019-04-01,"Correlation coefficient, Diffusion controlled mechanism, Electrocatalytic activity, Electrochemical biosensor, Electrochemical investigations, Irreversible reactions, Parkia speciosa, Potassium ferrocyanide, Amino acid, Biosensor, Copper, Enzyme electrode, Nano-diamond, Parkia speciosa","An electrochemical biosensor comprising copper, nano-diamond (ND) and carbon nanotube (CNT) has been fabricated to detect the amino acids of Parkia speciosa (PS) seeds. Parkia speciosa (stink bean), a Southeast Asian legume, is composed of medicinal chemicals which exhibit biological activities. The electro-catalytic activity of three electrodes Cu/CNT/ND, Zn/CNT/ND and NiO/CNT/ND was studied using 5 mM potassium ferrocyanide in 0.1 MKCl. The Zn/CNT/ND electrode exhibited irreversible reaction free oxidation with reduction peaks at -1 V, whereas, a pair redox peaks was observed for Cu/CNT/ND electrode. The immobilization of l-amino acid oxidase on the Cu/CNT/ND electrode was carried out to catalyze the amino acids detection. It was observed that the anodic and cathodic peak currents increased linearly with both the square root of the scan rate (ν1/2) and scan rate (ν) over the studied scan range of 0.01-0.1 V/s with high correlation coefficients and following both the adsorption and the diffusion-controlled mechanisms. The developed biosensor displayed a very good electro-catalytic activity toward the oxidation of the amino acid to release H2O2 and NH3 as a result of the reaction between the active sites and the Parkia speciosa component. This was also confirmed by a drop in the pH value from 6.8 to 6.5 and a change in the color of the solution from green to yellow (releasing H2S). The impedance results indicated an inductance behavior due to the co-formation of the hydrogen peroxide (H2O2) and the water via the adsorption on the electrode surface.","fluidex; related topics, coastal engineering, environmental","Chemical Engineering (miscellaneous), Waste Management and Disposal, Pollution, Process Chemistry and Technology"
Alcohol use disorder and alcohol withdrawal syndrome in Vietnamese hospitalized patients,"Mai Loan N.T., Bertino J.S., Kittisopee T.",2019-08-01,"Adult, Aged, Alcohol Drinking, Alcoholism, Cross-Sectional Studies, Diagnostic and Statistical Manual of Mental Disorders, Female, Health Risk Behaviors, Hospitalization, Humans, Inpatients, Male, Middle Aged, Prospective Studies, Severity of Illness Index, Substance Withdrawal Syndrome, Vietnam, Alcohol drinker, Alcohol use disorder, Alcohol withdrawal syndrome, Risky alcohol drinking","Aims: To identify the extent to which patients admitted to a general hospital in Vietnam meet the criteria for risky alcohol drinking, alcohol use disorder (AUD), and alcohol withdrawal syndrome (AWS), describe problems and behavior of alcohol use such as types and quantity of alcohol drinking in a hospitalized population in Vietnam, and investigate the association among age, disease-related factors, and alcohol consumption with AWS. Methods: This study was conducted prospectively in 1340 patients admitted to a general hospital. All patients were screened for risky alcohol drinking. Risky alcohol drinkers were assessed by using the Alcohol Use Disorder Identification Test (AUDIT) to identify AUD patients. The diagnosis of AWS was based on criteria defined by Diagnostic and Statistical Manual of Mental Disorders, version 5. The AWS scale was used to quantitate AWS severity level. Results: Prevalence of risky alcohol drinkers, AUD patients, and AWS patients among hospitalized patients was 15.5%, 13.1%, and 7.3%, respectively. All of the AUD and AWS patients were male. The majority of risky alcohol drinkers, patients with AUD, and patients with AWS were 40–60-year-old men. Almost all patients (98.3%) drank homemade alcohol. Hospitalized patients were more likely to develop AWS if they had liver disease or past experience with AWS. Conclusions: AUD and AWS are common in hospitalized patients. Formulating a protocol to identify and care for patients with alcohol-related disorders is urgent.","genergyal, sociology, biochemistryistry, pharmacology, neuroscience","Health (social science), Biochemistry, Toxicology, Neurology, Behavioral Neuroscience"
Finasteride enhances stem cell signals of human dermal papilla cells,"Rattanachitthawat N., Pinkhien T., Opanasopit P., Ngawhirunpat T., Chanvorachote P.",2019-01-01,"Biomarkers, Cell Line, Cell Survival, Cells, Cultured, Dermis, Finasteride, Fluorescent Antibody Technique, Hair Follicle, Humans, Phenotype, Proto-Oncogene Proteins c-akt, Signal Transduction, Stem Cells, Transcription Factors, Wnt Signaling Pathway, Dermal papilla, Finasteride, Hair loss, Protein kinase B, Stem cells, Wnt/β-catenin","Background/Aim: Finasteride (FN) has been widely used to treat androgenetic alopecia (AGA). This study aimed at exploring the effect of FN on DP stem cell properties. Materials and Methods: Effect of FN on stem cell properties was tested in a DP cell line and 2 human primary DP cells (HDPCs1 and HDPCs2). Cell toxicity and growth were analyzed by 3-(4,5-dimethylthiazol-2-yl)-2,5- diphenyltetrazolium bromide (MTT) assay. The aggregation behavior was observed by phase-contrast microscopy and a scanning electron microscope (SEM). Effects of FN on cell signaling were determined by western blotting and immunocytochemistry. Results: Treatment of DPCs with FN was able to significantly increase their aggregation behavior and the expression of stem cell transcription factors Nanog and Sox-2, when compared to the non-treated control. FN up-regulated stem cell regulatory proteins through the activation of protein kinase B (AKT), β-catenin, and integrin-β1. Conclusion: FN had an interesting biological effect on stem cell induction. These findings support the use of this drug for hair loss control and the development of regeneration approaches.","biochemistryistry, pharmacology","Biochemistry, Genetics and Molecular Biology (all), Pharmacology"
