Title,Authors,Publication Date,Keywords,Abstract,Classification,Subject Areas
Multilocus Sequence Typing and Virulence Potential of Vibrio parahaemolyticus Strains Isolated from Aquatic Bird Feces,"Muangnapoh C., Tamboon E., Supha N., Toyting J., Chitrak A., Kitkumthorn N., Ekchariyawat P., Iida T., Suthienkul O.",2022-06-01,"Animals, Birds, Feces, Humans, Multilocus Sequence Typing, Thailand, Vibrio Infections, Vibrio parahaemolyticus, Virulence, Virulence Factors, aquatic bird feces, multilocus sequence typing, Vibrio parahaemolyticus, virulence genes, whole-genome analysis","Vibrio parahaemolyticus is a Gram-negative, foodborne pathogenic bacterium that causes human gastroenteritis. This organism is ubiquitously present in the marine environment. Detection of V. parahaemolyticus in aquatic birds has been previously reported; however, the characterization of isolates of this bacterium recovered from these birds remains limited. The present study isolated and characterized V. parahaemolyticus from aquatic bird feces at the Bangpu Recreation Center (Samut Prakan province, Thailand) from 2016 to 2017, using multilocus sequence typing (MLST) and genome analysis. The results showed that V. parahaemolyticus was present in 34.9% (76/218) of the collected bird fecal samples. Among the ldh-positive V. parahaemolyticus isolates (n = 308), 1% (3/308) were positive for tdh, 1.3% (4/308) were positive for trh, and 0.3% (1/308) were positive for both tdh and trh. In turn, the MLST analysis revealed that 49 selected V. parahaemolyticus isolates resolved to 36 STs, 26 of which were novel (72.2%). Moreover, a total of 10 identified STs were identical to globally reported pathogenic strains (ST1309, ST1919, ST491, ST799, and ST2516) and environmental strains (ST1879, ST985, ST288, ST1925, and ST260). The genome analysis of isolates possessing tdh and/or trh (ST985, ST1923, ST1924, ST1929 and ST2516) demonstrated that the organization of the T3SS2a and T3SS2b genes in bird fecal isolates were almost identical to those of human clinical strains posing public health concerns of pathogen dissemination in the recreational area. The results of this study suggest that aquatic birds are natural reservoirs of new strains with high genetic diversity and are alternative sources of potentially pathogenic V. parahaemolyticus in the marine environment. IMPORTANCE To our knowledge, infection of foodborne bacterium V. parahamolyticus occurs via the consumption of undercooked seafood contaminated with pathogenic strains. Aquatic bird is a neglectable source that can transmit V. parahaemolyticus along coastal areas. This study reported the detection of potentially pathogenic V. parahamolyticus harboring virulence genes from aquatic bird feces at the recreational center situated near the Gulf of Thailand. These strains shared identical genetic profile to the clinical isolates that previously reported in many countries. Furthermore, the strains from aquatic birds showed extremely high genetic diversity. Our research pointed out that the aquatic bird is possibly involved in the evolution of novel strains of V. parahaemolyticus and play a role in dissimilation of the potentially pathogenic strains across geographical distance.","biochemistryistry, environmental, Immunology, medical","Physiology, Ecology, Immunology and Microbiology (all), Genetics, Microbiology (medical), Cell Biology, Infectious Diseases"
Third Asia-Pacific consensus recommendations on colorectal cancer screening and postpolypectomy surveillance,"Sung J.J.Y., Chiu H.-M., Lieberman D., Kuipers E.J., Rutter M.D., MacRae F., Yeoh K.-G., Ang T.L., Chong V.H., John S., Li J., Wu K., Ng S.S.M., Makharia G.K., Abdullah M., Kobayashi N., Sekiguchi M., Byeon J.-S., Kim H.-S., Parry S., Cabral-Prodigalidad P.A.I., Wu D.-C., Khomvilai S., Lui R.N., Wong S., Lin Y.-M., Dekker E.",2022-08-24,"Adenoma, Asia, Colonic Polyps, Colonoscopy, Colorectal Neoplasms, Consensus, Early Detection of Cancer, Humans, Unknown","The Asia-Pacific region has the largest number of cases of colorectal cancer (CRC) and one of the highest levels of mortality due to this condition in the world. Since the publishing of two consensus recommendations in 2008 and 2015, significant advancements have been made in our knowledge of epidemiology, pathology and the natural history of the adenoma-carcinoma progression. Based on the most updated epidemiological and clinical studies in this region, considering literature from international studies, and adopting the modified Delphi process, the Asia-Pacific Working Group on Colorectal Cancer Screening has updated and revised their recommendations on (1) screening methods and preferred strategies; (2) age for starting and terminating screening for CRC; (3) screening for individuals with a family history of CRC or advanced adenoma; (4) surveillance for those with adenomas; (5) screening and surveillance for sessile serrated lesions and (6) quality assurance of screening programmes. Thirteen countries/regions in the Asia-Pacific region were represented in this exercise. International advisors from North America and Europe were invited to participate.",medical,Gastroenterology
Complications related to orthognathic surgery: A 10-year experience in oral and maxillofacial training center,"Damrongsirirat N., Kaboosaya B., Siriwatana K., Subbalekha K., Jansisyanont P., Pimkhaokham A.",2022-03-01,"Adult, Female, Humans, Male, Operative Time, Orthognathic Surgery, Orthognathic Surgical Procedures, Postoperative Complications, Postoperative Period, Retrospective Studies, Young Adult, Complication, Dentofacial deformity, Orthognathic surgery","This article aimed to review adverse events and complications to orthognathic surgery based upon 10 years. This study was a retrospective investigation between 2009 and 2018. Independent variables such as sex, age, pre-operative conditions, diagnosis, type of surgery, bleeding volume, surgery duration, and hospitalization were recorded. The data regarding orthognathic surgery adverse events and complications were evaluated and statistically analyzed with a significance level of p < 0.05. A total of 891 patients were included in this study (male 39.1%, female 60.9%) with a mean age of 26.4 ± 6.09 years. A neurosensory disturbance was found as immediate post-operative sequelae as 93.5%. The four most frequent complications had a relapse (6.4%), post-operative TMD (5.7%), unfavorable osteotomy (5.5%), and infection (4.9%), which seem to be more common in males. An average blood loss was 497 ± 371 ml and the average operative time was 401 ± 109.3 min. Complication rates were statistically affected by bleeding volume (p-value = 0.01), operative time (p-value = 0.03), and type of skeletal deformity (p-value = 0.01). Although numerous complications were recorded, no fatal complications were experienced. Bleeding time, operative time, and skeletal classification have significant influence on orthognathic surgery complications. However, a multitude of factors could be modified to reduce the complication rate and improve the result of the treatment. One of the most significant factors was the operative time.","medical, dentistry","Surgery, Oral Surgery, Otorhinolaryngology"
Responsiveness of the UW Concerns about Pain Scale and UW Pain-Related Self-Efficacy Scale in Individuals with Chronic Low Back Pain,"Akkarakittichoke N., Janwantanakul P., Kanlayanaphotporn R., Jensen M.P.",2022-07-25,"Chronic Pain, Disability Evaluation, Humans, Low Back Pain, Pain Measurement, Self Efficacy, Surveys and Questionnaires, catastrophizing, chronic low back pain, minimal clinically important difference, pain-related self-efficacy, responsiveness","Objectives: The aim was to examine the responsiveness, presence of floor or ceiling effects, and minimal clinically important differences (MCIDs) for 2 new measures of pain-related catastrophizing and self-efficacy in individuals with chronic low back pain. Methods: A total of 183 individuals with chronic low back pain recruited from physical therapy clinics in Thailand completed the Thai versions of the 6-item University of Washington Concerns About Pain scale (T-UW-CAP6) and 6-item University of Washington Pain-Related Self-Efficacy scale (T-UW-PRSE6) at baseline and at 4 weeks follow-up. Perceived change in low back symptom was assessed at 4 weeks using a 7-point measure of Global Perceived Effect (GPE). Responsiveness of the T-UW-CAP6 and the T-UW-PRSE6 scale scores were evaluated by computing the effect sizes and standardized response means for change over time, and examining these as a function of the GPE ratings. Floor and ceiling effects were examined by evaluating the score distributions. Scale core MCIDs were estimated by computing a half a SD and SE of measurement statistics for each scale. Results: Responsiveness of the scales to pain treatment was supported by differences found in the mean change scores as a function of the treatment response categories. No significant floor or ceiling effects were found for either measure. Changes of 4.38 and 3.68 appeared to be the smallest change score perceived as clinical meaningful for the T-UW-CAP6 and T-UW-PRSE 6 scale scores, respectively. Discussion: The T-UW-CAP6 and T-UW-PRSE6 demonstrated good ability to detect perceived changes over time in patients with chronic low back pain. The MCIDs values provide a benchmark for assessing individual improvement in this clinical context.","orthopedic surgery, medical","Neurology (clinical), Anesthesiology and Pain Medicine"
Did variants in inborn errors of immunity genes contribute to the extinction of Neanderthals?,"Zhou Z., Swagemakers S.M.A., Lourens M.S., Suratannon N., Der Spek P.J.V., Dalm V.A.S.H., Dik W.A., Ijspeert H., Hagen P.M.V.",2022-01-01,"Animals, Genome, Genome, Human, Humans, Membrane Proteins, Neanderthals, Cytotoxicity, Denisovan, Glycosylation, Hemophagocytic Lymphohistiocystosis (HLH), HLA, Inborn errors of immunity (IEI), Innate immunity, MHC I presentation, MOGS, Neanderthals, SARS-Cov2, UNC13D, Viral infection","Background: Neanderthals were a species of archaic humans that became extinct around 40,000 years ago. Modern humans have inherited 1-6% of Neanderthal DNA as a result of interbreeding. These inherited Neanderthal genes have paradoxical influences, while some can provide protection to viral infections, some others are associated with autoimmune/auto-inflammatory diseases. Objective: We aim to investigate whether genetic variants with strong detrimental effects on the function of the immune system could have potentially contributed to the extinction of the Neanderthal population. Methods: We used the publically available genome information from an Altai Neanderthal and filtered for potentially damaging variants present in genes associated with inborn errors of immunity (IEI) and checked whether these variants were present in the genomes of the Denisovan, Vindija and Chagyrskaya Neanderthals. Results: We identified 24 homozygous variants and 15 heterozygous variants in IEI-related genes in the Altai. Neanderthal. Two homozygous variants in the UNC13D gene and one variant in the MOGS gene were present in all archaic genomes. Defects in the UNC13D gene are known to cause a severe and often fatal disease called. hemophagocytic lymphohistiocystosis (HLH). One of these variants p.(N943S) has been reported in patients with HLH. Variants in MOGS are associated with glycosylation defects in the immune system affecting the susceptibility for infections. Conclusion: Although the exact functional impact of these three variants needs further elucidation, we speculate that they could have resulted in an increased susceptibility to severe diseases and may have contributed to the extinction of Neanderthals after exposure to specific infections.","medical, Immunology","Immunology and Allergy, Immunology"
Single-step fabrication of highly stable amorphous TiO2 nanotubes arrays (am-TNTA) for stimulating gas-phase photoreduction of CO2 to methane,"Santos J.S., Fereidooni M., Marquez V., Arumugam M., Tahir M., Praserthdam S., Praserthdam P.",2022-02-01,"Amorphous TiO, Amorphous TiO2, CH 4, CH4 production, CO 2 reduction, CO2 photoreduction, Gas-phases, Nanotube arrays, Photo reduction, TiO 2 nanotube, Carbon Dioxide, Methane, Nanotubes, Titanium, Amorphous TiO2, CH4 production, CO2 photoreduction, Surface defects, TiO2 nanotubes","This study investigates the facile fabrication of interfacial defects assisted amorphous TiO2 nanotubes arrays (am-TNTA) for promoting gas-phase CO2 photoreduction to methane. The am-TNTA catalyst was fabricated via a one-step synthesis, without heat treatment, by anodization of Titanium in Ethylene glycol-based electrolyte in a shorter anodizing time. The samples presented a TiO2 nanostructured array with a nanotubular diameter of 100 ± 10 nm, a wall thickness of 26 ± 5 nm, and length of 3.7 ± 0.3 μm, resulting in a specific surface of 0.75 m2 g. The am-TNTA presented prolonged chemical stability, a high exposed surface area, and a large number of surface traps that can reduce the recombination of the charge carriers. The am-TNTA showed promising photoactivity when tested in the CO2 reduction reaction with water under UV irradiation with a methane production rate of 14.0 μmol gcat−1 h−1 for a pure TiO2 material without any modification procedure. This enhanced photocatalytic activity can be explained in terms of surface defects of the amorphous structure, mainly OH groups that can act as electron traps for increasing the electron lifetime. The CO2 interacts directly with those traps, forming carbonate species, which favors the catalytic conversion to methane. The am-TNTA also exhibited a high stability during six reaction cycles. The photocatalytic activity, the significantly reduced time for synthesis, and high stability for continuous CH4 production make this nanomaterial a potential candidate for a sustainable CO2 reduction process and can be employed for other energy applications.","clinical and experimental biochemistryistryhemistry, fluidex; related topics, geobase; related topics, environmental, chemistry, medical","Environmental Engineering, Environmental Chemistry, Chemistry (all), Pollution, Public Health, Environmental and Occupational Health, Health, Toxicology and Mutagenesis"
An ultra-low detection limit gold(III) probe based on rhodamine-covalent hydrogel sensor,"Kaewtong C., Wanich S., Wanno B., Tuntulani T., Pulpoka B.",2022-01-01,"Biological applications, Covalent immobilization, Dipole interaction, Fluorescence enhancement, Low detection limit, Metal-ion chelation, Ring opening reaction, Spectrophotometric study, Gold, Hydrogels, Limit of Detection, Rhodamines, Water, Agarose hydrogel, DFT, gold, rhodamine, sensor","A highly sensitive and selective optical chemosensor (Arg-Rhoen) for determination of Au3+ was prepared by covalent immobilization of rhodamine ethylenediamine on agarose gel. Spectrophotometric studies of complex formation, chemical structures and purity of the hydrogel sensor were carried out using TGA, NMR, TEM, and IR. The complexation study results indicated that this probe can selectively detect Au3+ via a metal ion chelation-induced ring-opening reaction, and then caused a remarkable colour change from colourless to pink and a strong fluorescence enhancement. Theoretical DFT calculation results suggested that the hydrogel sensor Arg-Rhoen formed stable complexes with Au3+ through a large number of cation–dipole interactions. Reusability has been established by repeatedly dipping and rinsing the hydrogel in aqueous Au3+ and EDTA in basic solutions. We believe that this approach may provide an easily measurable and inherently sensitive method for Au3+ detection in environmental and biological applications.","clinical and experimental biochemistryistryhemistry, fluidex; related topics, geobase; related topics, environmental","Environmental Chemistry, Water Science and Technology, Waste Management and Disposal"
Changes in bioactive compounds and health-promoting activities in adzuki bean: Effect of cooking conditions and in vitro simulated gastrointestinal digestion,"Sangsukiam T., Duangmal K.",2022-07-01,"Adzuki beans, Bioactive compounds, Bioactive substances, Cooking conditions, Gastrointestinal digestion, Health promoting activity, In-vitro, In-vitro digestions, Phenolic compounds, Saturated steam, Antioxidants, Cooking, Digestion, Fabaceae, Vigna, Adzuki beans, Cooking condition, Health promoting activity, In vitro digestion, Phenolic compound","Cooking conditions influenced the microstructure, bioactive compounds, and biological activities of adzuki beans. In comparison to boiling, saturated steam under pressure in an autoclave caused more potential bioactive substances in beans to be released. Potential bioactive compound content and antioxidant activities of cooked beans and cooking water from autoclaving for 60 min and 10 min (A60 and A10) were higher than boiling for 60 min (B60). In vitro simulated gastrointestinal digestion revealed that the digestible fractions from A10 and A60 had higher antioxidant, ACE-I inhibitory, and DPP-IV inhibitory activities than B60 in the digestible fraction of adzuki beans paste. Cooking conditions and digestive enzyme cleavage influenced the exposure of specific antioxidant functional groups and hydrophobic groups. Catechin and vitexin were found to be the most abundant phenolics in all digestible fractions, whereas p-courmaric acid, sinapic acid, and syringic acid were found in digestible fractions from A10 but not B60 or A60. According to these findings, A10 could be recommended for cooking adzuki bean since it not only provides health-promoting actions of bean paste after in vitro digestion but it also reduces cooking time.","fluidex; related topics, Agricultural and Biological Sciences",Food Science
Combined medical therapy in the treatment of allergic rhinitis: Systematic review and meta-analyses,"Chitsuthipakorn W., Hoang M.P., Kanjanawasee D., Seresirikachorn K., Snidvongs K.",2022-12-01,"Administration, Intranasal, Adrenal Cortex Hormones, Histamine Antagonists, Humans, Leukotriene Antagonists, Nasal Decongestants, Quality of Life, Rhinitis, Allergic, Rhinitis, Allergic, Perennial, allergic rhinitis, antihistamine, decongestant, intranasal, leukotriene, steroids","Background: Antihistamines (ATH) and intranasal corticosteroids (INCS) are primary treatments for patients with allergic rhinitis (AR). When monotherapy of either primary treatment fails to control symptoms, combined medical therapy is an option. In this meta-analysis we assessed the additional effects of different medical combinations compared with primary treatments. Methods: Systematic searches on PubMed and EMBASE were updated on November 4, 2021. Randomized, controlled trials comparing the effects of combinations with monotherapy were included. There were 7 comparisons: (1) ATH-decongestant vs ATH; (2) ATH-leukotriene receptor antagonist (LTRA) vs ATH; (3) INCS-ATH vs INCS; (4) INCS-LTRA vs INCS; (5) INCS-decongestion vs INCS; (6) INCS-saline irrigation vs INCS; and (7) ATH-saline irrigation vs ATH. Data were pooled for meta-analysis. Outcomes were composite nasal symptom score, composite ocular symptom score, quality of life (QoL), and adverse events. Results: Fifty-three studies were included. Compared with ATH alone, the ATH-decongestant combination improved composite nasal symptoms; ATH-LTRA improved nasal symptoms in patients with perennial AR; and ATH-nasal saline improved both symptoms and QoL. Compared with INCS alone, the INCS-intranasal ATH combination improved nasal symptoms, ocular symptoms, and QoL; INCS-LTRA improved ocular symptoms but not nasal symptoms; and INCS-nasal saline improved QoL but not symptoms. There were no additional effects observed from adding oral ATH or topical decongestant to INCS. Conclusion: After ATH monotherapy fails to control symptoms, addition of decongestant, saline, or LTRA can improve the outcomes. When INCS monotherapy is ineffective, addition of intranasal ATH can improve nasal symptoms; LTRA can improve ocular symptoms, and saline irrigation can improve QoL.",medical,"Immunology and Allergy, Otorhinolaryngology"
Diagnostic performance of digital and video cholangioscopes in patients with suspected malignant biliary strictures: a systematic review and meta-analysis,"Kulpatcharapong S., Pittayanon R., Kerr S.J., Rerknimitr R.",2022-05-01,"Biliary Tract Surgical Procedures, Cholestasis, Constriction, Pathologic, Endoscopy, Digestive System, Humans, Prospective Studies, Sensitivity and Specificity, Biliary stricture, Cholangiocarcinoma, Cholangioscopy, ERCP","Background: Per-oral cholangioscopy (POC) has evolved over the past decade from fiberoptic to digital and video imaging systems. Nowadays, only direct per-oral cholangioscopy (DPOC) and digital single-operator cholangioscopy (DS) are performed in daily practice. With better image resolution, POC is increasingly used as diagnostic tools in patients with suspected malignant biliary stricture (MBS). We aimed to evaluate the diagnostic yield of digital/video cholangioscopes for the diagnosis of MBS. Methods: A systematic search was performed in MEDLINE, Embase, and ISI Web of Knowledge databases until April 2020, to identify randomized controlled trials and prospective studies using digital or video POC. The meta-analysis of diagnostic accuracy study was performed to calculate summary estimates of the primary outcomes, including pooled sensitivity, and specificity of POC to diagnose MBS using bivariate random-effects models. Tissue histopathology was used as the reference standard for MBS diagnosis. For benign stricture, negative tissue histopathology and at least 6 months clinical follow-up were required. Results: Thirteen original articles with 876 patients were identified. The overall pooled sensitivity and specificity were 88 (95% CI 83–91) and 95 (95% CI 89–98), respectively. The area under the curve (AUROC) was 0.94 (95% CI 0.92–0.96). Subgroup analysis showed that cholangioscopic image impression provided significantly higher sensitivity (93% (95% CI 88–96) vs 82% (95% CI 76–87); p = 0.007), but lower specificity 86% (95% CI 75–92) vs 98 (95% CI 95–99); p < 0.001) than the tissue diagnosis from cholangioscopic-guided biopsy. In addition, biopsy obtained from DPOC had significantly higher sensitivity than that of DS (92% (95% CI 81–97) vs 79% (95% CI 72–84); p = 0.004). Diagnostic performance under image-enhanced endoscopy was not significantly better from white light endoscopy. Conclusions: Digital/video POC has very high diagnostic performance to diagnose MBS. While image diagnosis provides higher sensitivity than biopsy, its specificity drops as a trade-off.",medical,Surgery
