Title,Authors,Publication Date,Keywords,Abstract,Classification,Subject Areas
Reference Values for Chronotropic Index from 1280 Incremental Cycle Ergometry Tests,"Sirichana W., Neufeld E.V., Wang X., Hu S.B., Dolezal B.A., Cooper C.B.",2020-12-01,"Adult, Age Factors, Aged, Aged, 80 and over, Body Height, Body Weight, Databases, Factual, Exercise Test, Female, Heart Rate, Humans, Male, Middle Aged, Non-Smokers, Oxygen Consumption, Reference Values, Retrospective Studies, Sex Factors, Smokers, Young Adult, CARDIOPULMONARY EXERCISE TEST, CARDIOVASCULAR PHYSIOLOGY, HEART RATE, OXYGEN UPTAKE","Purpose Clinical cardiopulmonary exercise testing can determine causes of exercise limitation. The slope of heart rate (fC) versus oxygen uptake (V˙O2), which we call the chronotropic index (CI), can help identify cardiovascular impairment. We aimed to develop a reference equation for CI based on a large number of subjects considered to have normal exercise responses. Methods From a database of 13,728 incremental cycle ergometry exercise tests, we identified 1280 normal tests based on the absence of a clinical diagnosis, normal body mass index, and normal aerobic performance plus absence of cardiovascular disease, medications, or ventilatory limitation. A linear mixed-model approach was used to analyze the relationship between CI and other variables. Results Subjects were age 18-84 yr, and 693 (54.1%) were men. Mean ± SD CI in men was lower than in women, 41.2 ± 9.3 beats per liter versus 63.4 ± 15.7 L-1. Age (in years), sex (0, male; 1, female), height (in centimeters), and weight (in kilograms) were significant predictors for CI:CIi = 106.9 + 0.16 × agei + 14.3 × sexi - 0.31 × heighti - 0.24 × weighti. The SE of estimates ranged from 10.6 to 11.2 L-1 (median of 10.7 L-1). Conclusions We report a reference equation for CI derived from normal subjects. The CI can be used in conjunction with V˙O2max to interpret maximal cardiopulmonary exercise tests. We consider a high CI to be cardiovascular impairment and a low CI plus low V˙O2max to be chronotropic insufficiency.","medical, Health Professions","Orthopedics and Sports Medicine, Physical Therapy, Sports Therapy and Rehabilitation"
"Samin-derived flavonolignans, a new series of antidiabetic agents having dual inhibition against α-glucosidase and free radicals","Worawalai W., Phuwapraisirisan P.",2020-11-16,"alpha-Glucosidases, Antioxidants, Flavonoids, Flavonolignans, Free Radicals, Glycoside Hydrolase Inhibitors, Hypoglycemic Agents, Kinetics, Magnetic Resonance Spectroscopy, Molecular Structure, antioxidant, diabetes, Flavonolignan, Friedel-Crafts, glucosidase, oxocarbenium","A series of novel flavonolignans were synthesized by the reaction between a lignan named samin (1) and a range of flavonoids. This simple and rapid approach allowed direct assembly of these two bulky motifs in good yields without the formation of byproducts. Upon evaluation of antidiabetic activity of the synthesized products, epicatechinosamin (β-2g) was the most active α-glucosidase inhibitor toward maltase and sucrase. The kinetic study indicated that β-2 g inhibited the enzymes in a mixed manner of competitive and noncompetitive inhibition.","genergyal, chemistry, biochemistryistry, Agricultural and Biological Sciences","Analytical Chemistry, Biochemistry, Plant Science, Organic Chemistry"
Missing factors that are overlooked in designing a photovoltaic system,"Narkwatchara P., Ratanatamskul C., Chandrachai A.",2020-01-31,"Ambient environment, Calculation results, Design development, In-depth interviews, Operation temperature, Particulate Matter, Photovoltaic systems, Qualitative research, Design factors, Design process, Photovoltaic system, Renewable energy","The purpose of this research is to study new factors for the design of the Photovoltaic system to generate electrical energy by reviewing factors affecting the efficiency of producing electrical energy, which has not been considered to be important parameters in the design stage and assessment for installation of Photovoltaic system. In addition to the study of secondary sources of the aforesaid information, qualitative research has been studied by an in-depth interview with sample group whose members are engineers and design specialists on the installation of Photovoltaic system to integrate both ideas and bring new important parameters into the design process of Photovoltaic system. From the results of the study, it was found that the important factors are air quality (Particulate matter) and ambient environment (Operation temperature & relative humidity) around the installation area. Both factors should be added into the design process of the Photovoltaic system to make calculation results more accurate when compared with the results from which electrical energy produced after installation completed. The results from this research are supposed to be an addition of new factors to the design process for the design development of the Photovoltaic system in the future.","air pollution control, fluidex; related topics, computer science","Software, Human-Computer Interaction, Computer Vision and Pattern Recognition, Computer Networks and Communications"
Positive mother-child interactions and parenting styles were associated with lower screen time in early childhood,"Detnakarintra K., Trairatvorakul P., Pruksananonda C., Chonchaiya W.",2020-04-01,"Child, Child, Preschool, Female, Humans, Mother-Child Relations, Parent-Child Relations, Parenting, Retrospective Studies, Screen Time, Thailand, digital, media, mother-child interaction, parenting, screen time","Aim: This study examined long-term associations between mother-child interactions and parenting styles and electronic screen time. Methods: We studied 280 healthy children (53.2% girls) enrolled at a mean age of 36 ± 0.4 months from February 2015 to September 2016. The study included retrospective data on 267 children who had been recruited from medical facilities in Thailand at 6 months of age. Mother-child interaction, parenting styles and screen time were assessed at various ages and path analyses were performed to elucidate the directionality and relationships between the variables. Results: Increased mother-child interaction at 18 months of age was positively associated with less screen time at 2 and 3 years of age. Likewise, nurturing authoritative parenting at 3 years of age was directly related to lower media exposure at 4 years. The total screen time at younger ages had positive direct relationships with relaxed permissive and strict authoritarian parenting styles, but negative direct relationships with nurturing authoritative parenting in subsequent years. Conclusion: Early mother-child interaction and nurturing authoritative parenting were associated with subsequent decreased screen time, while media exposure at the age of two was related to relaxed permissive and strict authoritarian parenting at 3 years of age.","genergyal, medical","Pediatrics, Perinatology and Child Health"
Preparation and characterization of curdlan/polyvinyl alcohol/ thyme essential oil blending film and its application to chilled meat preservation,"Zhang Y., Zhou L., Zhang C., Show P.L., Du A., Fu J., Ashokkumar V.",2020-11-01,"Anti-bacterial activity, Anti-oxidant activities, Barrier properties, Biodegradable packaging, Cryo-scanning electron microscopy, Elongation at break, ITS applications, Water vapor permeability, Anti-Bacterial Agents, Antioxidants, beta-Glucans, Escherichia coli, Food Packaging, Food Preservation, Meat, Oils, Volatile, Polyvinyl Alcohol, Thymus Plant, Blending film, Chilled meat preservation, Curdlan, Polyvinyl alcohol, Thyme essential oil","With the growing interest in food safety and in environmental protection, it is more attractive to develop novel biodegradable packaging films. In this regard, one new blending film was prepared with curdlan (CD)/polyvinyl alcohol (PVA)/thyme essential oil. Our results demonstrated that the mechanical properties of the blending film were the best when the ratio of the CD and PVA was 4:1. Further, the barrier properties of the film were optimized by incorporating with thyme essential oil. It was proved that not only water vapor permeability was lower, but also the elongation at break was improved, when 2% (w/w) thyme essential oil used. The potential interactions of the film matrix were analyzed by FTIR, XRD and Cryo-scanning electron microscopy. Importantly, both the antioxidant activity and antibacterial activity were improved. Finally, the blending film was employed for the preservation of chilled meat, while the shelf life was extended up to 10 days.","mixing and separation, chemistry, Materials Science","Organic Chemistry, Polymers and Plastics, Materials Chemistry"
RNA-sequencing of snake venom glands,"Yee K.T., Vasieva O., Rojnuckarin P.",2020-01-01,"Animals, Exocrine Glands, Gene Library, High-Throughput Nucleotide Sequencing, Sequence Analysis, RNA, Snake Venoms, De novo assembly, Next-generation sequencing, RNA-Sequencing, Snake venom glands, Toxin transcripts","Next-generation sequencing (NGS), particularly RNA-sequencing (RNA-Seq) technique, allows detection and quantification of different RNA transcripts in a tissue sample, and in our case toxin transcripts from snake venom glands. Using this approach, novel toxin transcripts can be detected and abundancies of different isoforms of each toxin measured. The analytical pipeline can be briefly outlined as follows. Isolation of mRNA from tissue under RNase-free condition is essential to keep mRNA intact before sequencing. After mRNA fragmentation, the adapters are added to both ends of the fragments to synthesize complementary cDNAs. The obtained cDNA library is then sequenced on Illumina HiSeq 2000 platform. Quality of millions of reads produced from the NGS is checked and the sequences corresponding to the adapters and low-quality reads are removed. Subsequently, the NGS data are subjected to the workflow of de novo assembly, quantification of expression levels, annotation of transcripts, and identification of ORFs, signal peptides, structurally conserved domains, and functional motifs. In this report we describe the listed methodological steps and techniques in details and refer to the platforms and software that may be adopted for similar studies.",biochemistryistry,"Molecular Biology, Genetics"
"Process and sustainability analyses of the integrated biomass pyrolysis, gasification, and methanol synthesis process for methanol production","Im-orb K., Arpornwichanop A.",2020-02-15,"Analysis hierarchy process, Environmental assessment, Environmental factors, Methanol synthesis, Multi-criteria decision analysis, Process analysis, Product distributions, Sustainability analysis, Gasification, Methanol synthesis, Process analysis, Pyrolysis, Sustainability","Technical and sustainability analyses of the methanol production via the integrated biomass pyrolysis, gasification, and methanol synthesis (IBPGM) process using rice straw as feedstock, are performed. The utilization of emitted CO2 by recycling to a gasifier as a gasifying agent is investigated for technical and environmental reasons. The effects of CO2 recirculation on the product distribution and energy consumption of the IBPGM process are examined. The production rate of methanol is improved with the increased CO2 recycle fraction, while that of bio-oil does not change. The IBPGM is a highly exothermic process, with the largest energy-releasing unit being the methanol reactor. The energy consumption at the gasifier exhibits the same trend and thermal self-sufficiency is consequently achieved when the recycle fraction is raised to 0.76. Environmental assessment using a life cycle analysis tool reveals that the energy management of methanol synthesis unit and syngas processor needs to be improved as they highly contribute toward the carbon footprint and potential environmental impact. The technical and environmental factors of the IBPGM process are evaluated by the analysis hierarchy process, calculated by a multi-criteria decision analysis method. The IBPGM process with the CO2 recycle fraction of 0.2 offers the best performance. Under this condition, the methanol and bio-oil production rates of 0.23 and 0.09 kmol h−1, respectively, and the energy efficiency of 60.7% can be achieved, based on the biomass feed rate of 1 kmol h−1.","fluidex; related topics, geobase; related topics, engineering, environmental","Civil and Structural Engineering, Building and Construction, Pollution, Mechanical Engineering, Industrial and Manufacturing Engineering, Electrical and Electronic Engineering"
Who worries about specific phobias? – A population-based study of risk factors,"Coelho C.M., Goncalves-Bradley D., Zsido A.N.",2020-07-01,"Adolescent, Adult, Aged, Aged, 80 and over, Anxiety Disorders, Australia, Comorbidity, Female, Humans, Male, Middle Aged, Phobic Disorders, Risk Factors, Substance-Related Disorders, Young Adult, Depression, Population based study, Representative, Risk factors, Specific phobia, Substance abuse","Although specific phobia is one of the most prevalent lifetime anxiety disorders, little is known about the particular risk factors related to its development. The underlying goal of this study was to analyse the risk factors associated with worrying about specific phobias (SP) in a representative sample of community dwelling adults. The sample was composed of 8461 participants (mean age 47.68 years, range 18–85, 54.60% female), from the Australian National Mental Health Survey. A total of 188 participants (2.22%) reported worrying about SPs. Multivariate logistic regression analysis indicated that female sex (odds ratio (OR) = 1.98, p < 0.0001) and a comorbid diagnosis of lifetime major depression disorder (OR = 2.80, p < 0.0001) were the factors most strongly associated with worrying about SPs. Having experienced traumatic experiences involving significant others (OR = 1.18, p = 0.02), the number of chronic diseases (OR = 1.21, p < 0.01), and a comorbid diagnosis of substance use (OR = 2.80, p = 0.02) were also associated. Our results are in line with previous studies focusing on other anxiety disorders. We provide further evidence that substance dependence appears to serve as a unique risk factor for the subsequent onset of SP. Further empirical and clinical implications are discussed.","genergyal, psychologyhiatry, medical, neuroscience","Psychiatry and Mental Health, Biological Psychiatry"
How to approach esophagogastric junction outflow obstruction?,"Patcharatrakul T., Alkaddour A., Pitisuttithum P., Jangsirikul S., Vega K.J., Clarke J.O., Gonlachanvit S.",2020-11-10,"Deglutition Disorders, Esophageal Achalasia, Esophagogastric Junction, Esophagoscopy, Humans, Manometry, dysphagia, esophageal outflow obstruction, esophagogastric junction, esophagogastric junction outflow obstruction","The diagnosis of esophagogastric junction outflow obstruction (EGJOO) is currently based on high-resolution esophageal manometry and is characterized by impaired EGJ relaxation with preserved esophageal peristalsis. This condition has been defined by the Chicago Classification as a major esophageal motility disorder, although its clinical significance is controversial since heterogeneous and irrelevant presentations have been reported. EGJOO commonly has a benign clinical course, with spontaneous resolution, but it can also be associated with opioid usage, early achalasia, and mechanical obstruction. A careful medical, surgical, and medication history coupled with a careful manometry interpretation focused on the factors that might affect the integrated relaxation pressure are the keys for an accurate diagnosis. The advance of esophageal physiological tests can evaluate the clearance of the esophageal contents across the EGJ. The manometry technique, including testing in an upright position and provocative tests, can also complement those tests and demonstrate the evidence of EGJ obstruction. After making a diagnosis, endoscopy should be an initial step to exclude anatomical causes if it has not yet been done. Imaging studies can identify infiltrative lesions, but the reported diagnostic yield is relatively low. Management of EGJOO depends on the underlying etiology. Functional EGJOO patients with persistent dysphagia associated with the presence of outflow obstruction may require EGJ disruption therapy.","gastroenterology, neuroscience, biochemistryistry, arts","Neuroscience (all), Biochemistry, Genetics and Molecular Biology (all), History and Philosophy of Science"
Possible use of waste from marcasite jewelry industry as iron pyrite source incorporated with titanium dioxide for photodegradation of lignin under a halogen tungsten lamp,"Nawaukkaratharnant N., Sujaridworakun P., Mongkolkachit C., Wasanapiarnpong T.",2020-07-15,"Composite powders, Lignin degradation, Low oxygen, Shell structure, SIMPLE method, Tungsten lamps, Waste recycling, Lignin degradation, Marcasite waste, Microstructure, Pyrite FeS2/TiO2 photocatalyst, Semiconductors, Wastewater treatment","This paper observes the possibility of utilization of the marcasite waste (MW) from jewelry industry as pyrite FeS2 source for preparing the pyrite FeS2/titanium dioxide (TiO2) photocatalyst composite powder with simple method. The photocatalyst composite powder was fabricated by mixing the washed and milled MW with commercial TiO2 in ethanol and calcining at 300 °C for 4 h under low oxygen atmosphere. The particle was core–shell structure constructed of TiO2 shell and pyrite FeS2 core. Photocatalytic activity of the prepared powder, investigated by lignin degradation under irradiation by a halogen tungsten lamp, was higher than that of the commercial TiO2. This work provides an opportunity of waste recycling for removing organic matter from wastewater.","Materials Science, physics, engineering","Materials Science (all), Condensed Matter Physics, Mechanics of Materials, Mechanical Engineering"
"Structural diversity, natural selection and intragenic recombination in the Plasmodium vivax merozoite surface protein 9 locus in Thailand","Songsaigath S., Putaporntip C., Kuamsab N., Jongwutiwes S.",2020-11-01,"Animals, DNA, Protozoan, Genetic Variation, Haplotypes, Humans, Malaria, Vivax, Membrane Proteins, Merozoites, Phylogeny, Plasmodium vivax, Protein Domains, Protozoan Proteins, Recombination, Genetic, Selection, Genetic, Sequence Analysis, DNA, Thailand, Complete coding sequence, Malaria, Merozoite surface protein 9, Natural selection, Plasmodium vivax, Recombination, Thailand","The merozoite surface protein 9 (MSP9) of malarial parasite forms co-ligand complex with the 19 kDa fragment of merozoite surface protein 1 (MSP1) prior to erythrocyte invasion. Interruption of this process could hamper subsequent asexual erythrocytic development of malaria parasites; therefore, these proteins are considered potential vaccine candidates. In Plasmodium vivax, MSP9 (PvMSP9) contains both conserved and polymorphic repetitive domains that were immunogenic upon natural malaria exposure and conferred protection in vaccination studies in animal models. To investigate the extent of sequence diversity at this locus, 104 P. vivax isolates from 4 major malaria endemic areas of Thailand were analyzed. Results revealed that pvmsp9 contained 3 repeat domains (R1–R3) flanked by conserved domains. Repeat domains exhibit extensive sequence and length variation, in which 14, 39 and 16 haplotypes for domains R1–R3, respectively, circulated in this country. Sequence diversity in pvmsp9 among P. vivax isolates from each endemic area displayed population structure. The extent of sequence diversity in pvmsp9 isolates from the provinces of Tak, Chanthaburi, Ubon Ratchathani and Prachuap Khiri Khan in northwestern, eastern, northeastern and southwestern areas, respectively, was almost comparable and was remarkably higher than that from Yala/Narathiwat population in southern Thailand. Evidence for intragenic recombination in this locus was observed within each P. vivax population except among isolates from Yala and Narathiwat. Synonymous nucleotide diversity significantly exceeded nonsynonymous nucleotide diversity in domains R2 and R3, indicating purifying selection. However, micro-scale signatures of positive and negative selections occurred in both conserved and repeat domains, implying two opposing forces, probably from functional or structural constraint and host immune pressure, could have influenced diversity at this locus. The immunodominant T and B cell epitopes so far identified were invariant or highly conserved across isolates. Further analysis of global isolates is warranted for vaccine design based on this protein.","microbiology: bacteriology, mycology, parasitology and virology, Immunology, Agricultural and Biological Sciences, biochemistryistry, medical","Microbiology, Ecology, Evolution, Behavior and Systematics, Molecular Biology, Genetics, Microbiology (medical), Infectious Diseases"
