Title,Authors,Publication Date,Keywords,Abstract,Classification,Subject Areas
Home-based chemotherapy for stage III colon cancer patients in Thailand: Cost-utility and budget impact analyses,"Kulthanachairojana N., Chansriwong P., Thokanit N.S., Sirilerttrakul S., Wannakansophon N., Taychakhoonavudh S.",2021-02-01,"Antineoplastic Combined Chemotherapy Protocols, Bevacizumab, Colonic Neoplasms, Cost-Benefit Analysis, Female, Fluorouracil, Follow-Up Studies, Home Care Services, Humans, Leucovorin, Male, Middle Aged, Oxaliplatin, Prognosis, Retrospective Studies, Self-Management, colon cancer, cost-utility analysis, home-based chemotherapy, portable infusion pump","Home-based chemotherapy (HC) is a new treatment alternative to hospital-based chemotherapy treatment (IP) and is administered via portable intravenous pumps at the patient's home. HC reduces the demand for inpatient bed capacity in hospitals and reduces the cost of an infusion. This study takes a societal perspective while conducting the cost-utility and budget impact analyses (BIA) of HC and IP with an mFOLFOX6 regimen on patients with stage III colon cancer. We conducted a cost-utility analysis with a 6-month time horizon. The parameter inputs for the model were gathered from a retrospective cohort study on patients diagnosed with stage III colon cancer at Ramathibodi Hospital, Bangkok. The resource usage of HC and IP was determined based on medical records. The per-unit direct medical, home health service, and adverse events (AE) management costs were gathered from the standard cost list. The health outcome of treatment was measured in terms of quality-adjusted life years. Disutility related to AE was calculated. We conducted a sensitivity analysis for the uncertainty results and performed BIA based on the societal perspective on a 1-year time horizon. HC provided a cost-saving of $1,513.37 per patient for the period of treatment. Thus, assuming 526 patients per year, the use of HC could achieve a cumulative annual cost-saving of $828,436. HC is a cost-saving strategy compared to IP for stage III colon cancer treatment. We recommend that the service reimbursement should include national standardization in chemotherapy regimens as well as practice guidelines and protocols to prevent serious AEs.","medical, biochemistryistry","Oncology, Radiology, Nuclear Medicine and Imaging, Cancer Research"
Factors Associated with the Incidence and Mortality of Coronavirus Disease 2019 (COVID-19) after 126-million Cases: A Meta-analysis,"Phannajit J., Takkavatakarn K., Katavetin P., Asawavichienjinda T., Tungsanga K., Praditpornsilpa K., Eiam-Ong S., Susantitaphong P.",2021-09-01,"Australia, COVID-19, Europe, Humans, Incidence, SARS-CoV-2, Coronavirus disease-19, epidemiology, health system, incidence, mortality, pandemics","OBJECTIVES: This meta-analysis was conducted to investigate the current global incidence and mortality of COVID-19 and also explored the associated factors including geographic variations, transmission scenarios, country economic status, and healthcare performance. METHODS: The search was conducted in online databases based on reports from national authorities by March 28, 2021. Random-effects model meta-analyses and meta-regression analyses were used to generate summary estimates and explored sources of heterogeneity. RESULTS: The cumulative number of confirmed COVID-19 cases was 125,704,789 reported by 216 countries. The pooled Daily Cumulative Index (DCI) was 1423.87 cases/day which was highest in South America (2759.15 cases/day) followed by North America (2252.49 cases/day), Europe (1858.44 cases/day), Asia (1484.84 cases/day), Africa (193.09 cases/day), and Australia/Oceania (18.55 cases/day). The overall pooled mortality rate of COVID-19 was 1.53%. Higher income countries and countries with community transmission had higher DCI. By meta-regression, country total health expenditure per capita, percentage of universal health coverage, and total number of tests were associated with higher DCI. On the contrary, country Gross Domestic Product (GDP) per capita were negatively correlated with mortality rate. CONCLUSION: To date, 216 countries around the world are affected by COVID-19. Higher income, GDP, and countries' investments on heath are associated with higher DCI while higher GDP correlates with lower mortality. Community transmission route have more impact on the incidence and mortality of COVID-19.",medical,Epidemiology
Association between depression and increased risk of readmission in patients with heart failure: A systematic review and meta-analysis,"Kewcharoen J., Tachorueangwiwat C., Kanitsoraphan C., Saowapa S., Nitinai N., Vutthikraivit W., Rattanawong P., Banerjee D.",2021-08-01,"Depression, Heart Failure, Hospitalization, Humans, Patient Readmission, Depression, Heart failure, Patient readmission","INTRODUCTION: Heart failure (HF) is one of the world leading causes of admission and readmission. Recent studies have shown that the presence of depression is associated with hospital readmission in patients after an index admission for heart failure (HF). However, there is disagreement between published studies regarding this finding. We performed a systematic review and meta-analysis to evaluate the effect of depression on readmission rates in HF patients. EVIDENCE ACQUISITION: We searched the databases of MEDLINE and EMBASE from inception to March 2020. Included studies were published study evaluating readmission rate of HF patients, with and without depression. Data from each study were combined using a random-effects model, generic inverse variance method of DerSimonian and Laird to calculate risk ratios and 95% confidence intervals. EVIDENCE SYNTHESIS: Ten studies were included in the meta-analysis with a total of 53,165 patients (6194 patients with depression). The presence of depression was associated with an increased risk of readmission in patients with HF (pooled HR=1.54, 95% CI: 1.22-1.94, P<0.001, I2=55.4%). In a subgroup analysis, depression was associated with an increased risk of readmission in patients with HF in both short-term (<90 days) follow-up (pooled HR=1.75, 95% CI: 1.07¬ 2.85, P=0.025, I2=76.0%) and long-term (>90 days) follow-up (pooled HR=1.58, 95% CI: 1.32-1.90, P<0.001, I2=0.0%). CONCLUSIONS: Our meta-analysis demonstrated that depression is associated with an increased risk of hospital readmission in patients with HF.",medical,"Cardiology and Cardiovascular Medicine, Medicine (all)"
Prevalence and Impact of Obesity on Disease-specific Outcomes in a Population-based Cohort of Patients with Ulcerative Colitis,"Johnson A.M., Harmsen W.S., Aniwan S., Tremaine W.J., Abu Dayyeh B.K., Loftus E.V.",2021-11-01,"Adult, Analysis of Variance, Body Mass Index, Cohort Studies, Colitis, Ulcerative, Correlation of Data, Female, Humans, Male, Middle Aged, Obesity, Outcome Assessment, Health Care, Prevalence, Prospective Studies, Risk Factors, inflammatory bowel disease [IBD], obesity, Ulcerative colitis[UC]","Background and Aims: There remains a historical misconception that inflammatory bowel disease [IBD] patients are underweight. However, recent data suggest rates of obesity in IBD parallel to those of the general population. The impact obesity has on the natural history of IBD is unclear. We aimed to determine obesity rates at the time of IBD diagnosis in a population-based cohort of ulcerative colitis [UC] patients. Methods: Chart review was performed on patients diagnosed with UC over 1970-2010. Data were collected on demographics, body mass index [BMI], disease characteristics, IBD-specific hospitalisations, intestinal resection, and corticosteroid use. The proportion of patients who were obese at the time of their diagnosis was evaluated over time, and survival free of IBD-related complications was assessed using Kaplan-Meier survival analysis. Results: A total of 417 adults were diagnosed with UC over 1970-2010, 55.4% of whom were classified as either overweight [34.8%] or obese [20.6%]. The prevalence of obesity increased 2-3-fold over the 40-year study period. Obese patients had a 72% increased risk of hospitalisation (hazard ratio [HR],1.72; 95% confidence interval [CI], 1.10-2.71; p = 0.018) when compared with normal weight patients. Additionally, with each incremental increase in BMI by 1 kg/m2, the risk of hospitalisation increased by 5% [HR,1.05; 95% CI, 1.01-1.08; p = 0.008] and risk of corticosteroid use increased by 2.6% [HR,1.026; 95% CI, 1.00-1.05; p = 0.05]. Conclusions: The prevalence of obesity in the UC population is increasing and may have negative prognostic implications, specifically regarding risk of future hospitalisation and corticosteroid use. Additional prospective studies are necessary to more clearly define these associations.","gastroenterology, medical",Medicine (all)
Prevalence and risk of residual viremia after ART in low- and middle-income countries A cross-sectional study,"Gatechompol S., Zheng L., Bao Y., Avihingsanon A., Kerr S.J., Kumarasamy N., Hakim J.G., Maldarelli F., Gorelick R.J., Welker J.L., Lifson J.D., Hosseinipour M.C., Eron J.J., Ruxrungtham K.",2021-01-01,"Adult, Anti-Retroviral Agents, Cross-Sectional Studies, Developing Countries, Female, HIV Infections, Humans, Logistic Models, Male, Prevalence, Retrospective Studies, Viremia, HIV molecular and monitoring core gag single copy assay, HIV-1, lowand middle-income countries, prevalence, residual viremia, risk factors","In order to design effective strategies to eradicate the HIV, an understanding of persistent viral reservoirs is needed. Many studies have demonstrated HIV residual viremia prevalence in high income countries, data from low- and middle-income countries (LMIC) are limited. We assessed the prevalence, and factors associated with residual viremia in people with HIV (PWH), who were virally-suppressed on antiretroviral therapy (ART) in LMIC. We also compared residual viremia prevalence between the LMIC and US. This is a cross-sectional, retrospective study that utilized stored specimen samples from the AIDS clinical trials group (ACTG) studies A5175 and A5208. The last available sample among participants with plasma HIV RNA < 400 copies/mL for ≥3 years were tested by the HIV molecular and monitoring core gag (HMMCgag) single copy assay (SCA). Residual viremia was defined as detectable if ≥1 copy/mL. Spearman’s correlation and multivariable stepwise logistic regression were used to assess associations of various factors with SCA. A total of 320 participants, 246 (77%) from LMIC and 74 (23%) from US, were analyzed. Median (IQR) age was 33 (2840) years; baseline CD4 166 (88,230) cells/mm3; HIV RNA 5.0 (4.5, 5.3) log10 copies/mL; duration of viral suppression 3.4 (3.1, 4.0) years and 48% were male. In 85 participants with information available, 53% were subtype C, 42% subtype B and 5% other subtypes. Overall prevalence of residual viremia was 57% [95% CI, 52–63] with 51% [40–63] in US and 59% [53–65] in LMIC. Among participants with detectable SCA, the median (IQR) HIV RNA was 3.8 (2.2, 8.1) copies/mL. The multivariable model conducted in LMIC participants showed that higher baseline HIV RNA was associated with detectable residual RNA (OR 2.9, 95% CI 1.8, 4.6 for every log10 increase, P < .001). After including both US and LMIC in the final model, baseline HIV RNA remained significant. No difference in SCA detestability was found between US and LMIC sites (OR 1.1 [0.6, 2.0], P = .72) after adjusting for baseline RNA and parent study. The prevalence of residual viremia between both groups were not different and more than half of the participants had detectable viremia. Higher baseline HIV RNA was independently associated with residual viremia.",medical,Medicine (all)
Facile preparation protocol of magnetic mesoporous carbon acid catalysts via soft-template self-assembly method and their applications in conversion of xylose into furfural,"Toumsri P., Auppahad W., Saknaphawuth S., Pongtawornsakun B., Kaowphong S., Dechtrirat D., Panpranot J., Chuenchom L.",2021-11-01,"Acid catalyst, Carbon acid, Facile preparation, Furfural, Magnetic mesoporous carbons, Mesoporous carbon, Self-assembly method, Soft template, Soft-template self-assembly, ]+ catalyst, acid catalyst, furfural, magnetic, mesoporous carbon, soft-template self-assembly, xylose","Furfural is a valuable dehydration product of xylose. It has a broad spectrum of industrial applications. Various catalysts containing SO 3 H have been reported for the conversion of xylose into furfural. Nevertheless, the multi-step preparation is tedious, and the catalysts are usually fine powders that are difficult to separate from the suspension. Novel magnetic mesoporous carbonaceous materials (Fe/MC) were successfully prepared via facile self-assembly in a single step. A facile subsequent hydrothermal sulfonation of Fe/MC with concentrated H 2 SO 4 at 180°C gave mesoporous carbon bearing SO 3 H groups (SO 3 H@Fe/MC) without loss of the magnetic properties. Various techniques were employed to characterize the SO 3 H@Fe/MC as a candidate catalyst. It showed strong magnetism due to its Fe particles and possessed a 243 m 2 g -1 BET-specific surface area and a 90% mesopore volume. The sample contained 0.21 mmol g -1 of SO 3 H and gave a high conversion and an acceptable furfural yield and selectivity (100%, 45% and 45%, respectively) when used at 170°C for 1 h with γ-valerolactone as solvent. The catalyst was easily separated after the catalytic tests by using a magnet, confirming sufficient magneticstability. This article is part of the theme issue 'Bio-derived and bioinspired sustainable advanced materials for emerging technologies (part 2)'.","fluidex; related topics, Mathematics, engineering, physics","Mathematics (all), Engineering (all), Physics and Astronomy (all)"
Luminescence characterization of Mn-doped LiMgPO4 synthesized using different precursors,"Sronsri C., Sittipol W., U-yen K.",2021-05-01,"Cell volume, Different precursors, Luminescent property, Newberyite, Precipitation methods, Surface area, Synthesis temperatures, Thermal synthesis, Mn-doped mineral, Phosphor, Photoluminescence, Physical property, Thermal synthesis","In the present study, precipitation method was used to synthesize three Mn-doped minerals, namely, dittmarite, struvite, and newberyite, and LiMg0.74Mn0.26PO4 phosphor was prepared through thermal synthesis using each of the afore-mentioned minerals as a precursor. Slight changes in the X-ray diffraction positions in the Mn-dopants validated that the pure-doped phase resulted in the changes in cell volumes and lattice parameters, which demonstrated that the Mn-dopants retained the undoped crystal structures. Photoluminescence (PL) of the phosphors derived from different precursors was examined under various conditions, in terms of physical and luminescent properties. The observed PL was dependent on the surface area, synthesis temperature, particle size, and crystallite size. The energy gap (Eg) value for LiMg0.74Mn0.26PO4 synthesized at 900 ​°C was also determined (5.492 ​eV), and was observed to be slightly decreased compared to the corresponding value for LiMgPO4 (5.60 ​eV). Moreover, the Eg value for LiMg0.74Mn0.26PO4 obtained at 800 ​°C (5.416 ​eV) indicated that higher synthesis temperature resulted in a higher Eg value, from which it could be concluded that Eg restriction could have initiated because of the ratio between the surface areas and the volume of the sample. As expected, the highest PL performance was obtained when Mn-doped newberyite was used as a precursor.","fluidex; related topics, Materials Science, physics, chemistry","Electronic, Optical and Magnetic Materials, Ceramics and Composites, Condensed Matter Physics, Physical and Theoretical Chemistry, Inorganic Chemistry, Materials Chemistry"
Immunoglobulin G1 subclass responses can be used to detect specific allergy to the house dust mites Dermatophagoides farinae and Dermatophagoides pteronyssinus in atopic dogs,"Khantavee N., Chanthick C., Tungtrongchitr A., Techakriengkrai N., Suradhat S., Sookrung N., Roytrakul S., Prapasarakul N.",2021-12-01,"Allergens, Animals, Dermatitis, Atopic, Dermatophagoides farinae, Dermatophagoides pteronyssinus, Dog Diseases, Dogs, Enzyme-Linked Immunosorbent Assay, Female, Immunoglobulin E, Immunoglobulin G, Male, Skin Tests, Antibody, Biomarker, Canine atopic dermatitis, House dust mites, Immunoglobulin G1 subclass","Background: In dogs with atopic dermatitis, intradermal testing (IDT) or allergen specific IgE serological testing are routinely employed to identify causative allergens. These allergens can then be used for allergen-specific immunotherapy and allergy management. The clinical relevance of this testing is affected by the source of allergen, and other biomarkers that are more related to specific allergens still need to be identified. The aim of this study was to investigate levels of specific IgE, total IgG, and IgG1 and IgG2 subclasses against the local house dust mites (HDM) Dermatophagoides farinae (DF) and D. pteronyssinus (DP) as biomarkers by using in-house ELISAs in healthy (n = 33) and atopic dogs (AD) (n = 44) that were either positive or negative by IDT to HDM. Results: Being over 3 years of age was a risk factor for AD (Odds Ratio (OD) = 4.10, 95% Confidence interval (CI) 1.57–10.75, p = 0.0049), but there was no relation to IDT outcomes (OR = 0.9091, 95% CI 0.22–3.74, p = 1.00). High levels of all antibody isotypes (IgE, IgG, IgG1 and IgG2) against HDM were found in aged healthy dogs (> 3 years old). In AD, HDM-IgE and IgG1 levels were higher in dogs that were IDT positive to HDM than in IDT negative animals. Levels of IgE and IgG1 could be used to distinguish the specific allergens, whereas total IgG and IgG2 levels were not different between IDT-positive and IDT-negative AD. By the receiver operating characteristic curve at a false-positive rate = 0.10, both IgE and IgG1 showed better sensitivity than IgG and IgG2. Similar to IgE, serum IgG1 concentration was also relevant to IDT outcomes. Conclusions: Our in-house ELISAs coated with local HDM were useful for evaluating antibody levels, and we propose use of the HDM-specific IgG1 subclass as a biomarker to detect HDM specific allergens in AD, potentially together with an IgE based platform.",Veterinary Science,Veterinary (all)
Prominent indomethacin-induced enteropathy in fcgriib defi-cient lupus mice: an impact of macrophage responses and immune deposition in gut,"Bhunyakarnjanarat T., Udompornpitak K., Saisorn W., Chantraprapawat B., Visitchanakun P., Dang C.P., Issara-Amphorn J., Leelahavanichkul A.",2021-02-01,"Animals, Anti-Inflammatory Agents, Non-Steroidal, Disease Models, Animal, Endotoxemia, Enterocolitis, Female, Gene Deletion, Indomethacin, Lupus Erythematosus, Systemic, Macrophage Activation, Macrophages, Mice, Inbred C57BL, Receptors, IgG, FcgRIIb deficient mice, Gut leakage, NSAIDs-enteropathy, Systemic lupus erythematosus","A high dose of NSAIDs, a common analgesic, might induce lupus activity through several NSAIDs adverse effects including gastrointestinal permeability defect (gut leakage) and endotoxemia. Indomethacin (25 mg/day) was orally administered for 7 days in 24-wk-old Fc gamma receptor IIb deficient (FcgRIIb-/-) mice, an asymptomatic lupus model (increased anti-dsDNA without lupus nephritis), and age-matched wild-type (WT) mice. Severity of indomethacin-induced enteropathy in FcgRIIb-/-mice was higher than WT mice as demonstrated by survival analysis, intestinal injury (histology, immune-deposition, and intestinal cytokines), gut leakage (FITC-dextran assay and endotoxemia), serum cytokines, and lupus characteristics (anti-dsDNA, renal injury, and proteinuria). Prominent responses of FcgRIIb-/-macrophages toward lipopolysaccharide (LPS) compared to WT cells due to the expression of only activating-FcgRs without inhibitory-FcgRIIb were demonstrated. Extracellular flux analysis indicated the greater mitochondria activity (increased respiratory capacity and respiratory reserve) in FcgRIIb-/-macrophages with a concordant decrease in glycolysis activity when compared to WT cells. In conclusion, gut leakage-induced endotoxemia is more severe in indomethacin-administered FcgRIIb-/-mice than WT, possibly due to the enhanced indomethacin toxicity from lupus-induced intestinal immune-deposition. Due to a lack of inhibitory-FcgRIIb expression, mitochondrial function, and cytokine production of FcgRIIb-/-macrophages were more prominent than WT cells. Hence, lupus disease-activation from NSAIDs-enteropathy-induced gut leakage is possible.","coastal engineering, biochemistryistry, chemistry, computer science","Catalysis, Molecular Biology, Spectroscopy, Computer Science Applications, Physical and Theoretical Chemistry, Organic Chemistry, Inorganic Chemistry"
Quantum Neural Network model for Token allocation for Course Bidding,"Laokondee S., Chongstitvatana P.",2021-01-01,"Bid allocation, Classical neural networks, Course bidding, Network weights, Neural network model, Neural-networks, Parameterized, Quanta computers, Quantum Computing, Quantum neural networks, Bid allocation, Course Bidding, Neural Networks, Quantum Computing, Quantum Neural Network","Quantum computer has shown the advantage over the classical computer to solve some problems using the laws of quantum mechanics. With a combination of knowledge of machine learning and quantum computing, Quantum neural networks adapted the concept from classical neural networks and apply parameterized quantum gates as neural network weights. In this paper, we present an application of quantum neural networks with real-world data to predict token price used in a course bidding system. The experiments were carried out on the Qiskit quantum simulator. The result shows that quantum neural networks can achieve a good prediction result compared to the classical neural network. The best model configuration has the lowest RMSE 6.38%. This approach opens an opportunity to explore the benefit of quantum machine learning in many research fields in the future.","fluidex; related topics, computer science, engineering, Mathematics","Artificial Intelligence, Computer Networks and Communications, Computer Science Applications, Automotive Engineering, Civil and Structural Engineering, Control and Optimization"
