Subject Area,Count
Electrical and Electronic Engineering,111
Materials Science (all),103
Sustainability and the Environment,95
Renewable Energy,95
Chemistry (all),83
Computer Networks and Communications,82
Condensed Matter Physics,81
Biochemistry,79
Materials Chemistry,79
Energy Engineering and Power Technology,74
Infectious Diseases,70
Organic Chemistry,70
Software,68
Polymers and Plastics,66
Mechanical Engineering,65
Mechanics of Materials,64
Chemical Engineering (all),56
Environmental Engineering,55
Computer Science Applications,55
Molecular Biology,55
Pollution,52
Physical and Theoretical Chemistry,51
Waste Management and Disposal,50
Industrial and Manufacturing Engineering,49
Environmental and Occupational Health,48
Public Health,48
Instrumentation,46
Computer Science (all),45
Artificial Intelligence,45
Computer Vision and Pattern Recognition,43
Analytical Chemistry,43
Pharmacology,43
Energy (all),43
Fuel Technology,42
Environmental Chemistry,42
Catalysis,42
Molecular Medicine,41
Optical and Magnetic Materials,41
Electronic,41
Drug Discovery,40
Pharmaceutical Science,40
Human-Computer Interaction,40
Environmental Science (all),39
Immunology,37
Engineering (all),36
Food Science,36
Surfaces,35
Process Chemistry and Technology,35
Coatings and Films,35
Civil and Structural Engineering,34
Veterinary (all),34
Information Systems and Management,34
Immunology and Allergy,33
Microbiology,33
Medicine (all),31
Ecology,31
Oncology,29
Control and Optimization,28
Genetics,28
Hardware and Architecture,27
Animal Science and Zoology,27
Biotechnology,27
Surgery,26
Evolution,26
Behavior and Systematics,26
Reliability and Quality,25
Metals and Alloys,25
Risk,25
Safety,25
Neurology (clinical),24
Biomedical Engineering,24
Neurology,23
Building and Construction,23
Endocrinology,22
Health,22
Toxicology and Mutagenesis,22
Psychiatry and Mental Health,21
Spectroscopy,21
Cancer Research,21
Chemical Engineering (miscellaneous),21
Engineering (miscellaneous),21
Earth and Planetary Sciences (all),21
Bioengineering,20
and Optics,19
Physics and Astronomy (all),19
Geotechnical Engineering and Engineering Geology,19
Atomic and Molecular Physics,19
Pediatrics,19
Modeling and Simulation,19
Immunology and Microbiology (all),18
Gastroenterology,18
Biomaterials,18
Microbiology (medical),18
Pharmacology (medical),18
Perinatology and Child Health,18
Chemistry (miscellaneous),17
Critical Care and Intensive Care Medicine,17
Information Systems,17
Orthopedics and Sports Medicine,17
Hematology,17
Nephrology,17
Clinical Biochemistry,17
Genetics and Molecular Biology (all),16
Dentistry (all),16
Water Science and Technology,16
Surfaces and Interfaces,16
Ceramics and Composites,15
Obstetrics and Gynecology,15
Otorhinolaryngology,15
Aquatic Science,14
Control and Systems Engineering,14
Cell Biology,14
Applied Microbiology and Biotechnology,14
Cardiology and Cardiovascular Medicine,14
Parasitology,14
Energy (miscellaneous),13
Nutrition and Dietetics,13
Complementary and Alternative Medicine,13
Economics and Econometrics,12
Cellular and Molecular Neuroscience,12
Biophysics,12
Inorganic Chemistry,12
Signal Processing,12
Diabetes and Metabolism,11
Strategy and Management,11
Applied Mathematics,11
Radiology,11
Neuroscience (all),11
Health Policy,11
Nuclear Medicine and Imaging,11
Structural Biology,11
Rehabilitation,11
Electrochemistry,10
Colloid and Surface Chemistry,10
Histology,10
Theoretical Computer Science,10
Geology,10
Epidemiology,10
Management Science and Operations Research,10
Food Animals,10
Virology,9
Biological Psychiatry,9
Policy and Law,9
Agronomy and Crop Science,9
Dermatology,9
Monitoring,9
Pathology and Forensic Medicine,9
Management,9
Physiology,9
Physical Therapy,9
Education,9
Sports Therapy and Rehabilitation,9
Physiology (medical),9
Genetics (clinical),8
Aerospace Engineering,8
Toxicology,8
Transportation,8
Plant Science,8
Ophthalmology,8
Computational Mathematics,7
Nuclear Energy and Engineering,7
Oral Surgery,7
Toxicology and Pharmaceutics (all),7
Pulmonary and Respiratory Medicine,7
Planning and Development,7
Geography,7
Ecological Modeling,7
Geriatrics and Gerontology,7
Mathematical Physics,7
Radiation,7
Biochemistry (medical),6
Geochemistry and Petrology,6
Medicine (miscellaneous),6
Anatomy,5
Forestry,5
Insect Science,5
Space and Planetary Science,5
Internal Medicine,5
Statistics and Probability,5
Global and Planetary Change,5
Clinical Psychology,5
Automotive Engineering,5
Small Animals,5
Agricultural and Biological Sciences (all),5
Health Informatics,5
Soil Science,5
Periodontics,5
Hepatology,5
Computational Theory and Mathematics,4
Materials Science (miscellaneous),4
Urology,4
Astronomy and Astrophysics,4
Computer Graphics and Computer-Aided Design,4
Veterinary (miscellaneous),4
Equine,4
Architecture,4
Complementary and Manual Therapy,4
Emergency Medicine,3
Archeology,3
Rheumatology,3
Statistics,3
Probability and Uncertainty,3
Orthodontics,3
Mathematics (all),3
Anesthesiology and Pain Medicine,3
Horticulture,3
Nursing (all),3
Immunology and Microbiology (miscellaneous),3
Transplantation,3
Developmental Biology,3
Oceanography,3
Media Technology,3
Behavioral Neuroscience,3
Archeology (arts and humanities),3
Psychology (all),3
Ocean Engineering,2
Social Sciences (miscellaneous),2
Pharmacy,2
Filtration and Separation,2
Management Information Systems,2
Radiological and Ultrasound Technology,2
Reproductive Medicine,2
Sociology and Political Science,2
Management of Technology and Innovation,2
Econometrics and Finance (miscellaneous),2
Mathematics (miscellaneous),2
Acoustics and Ultrasonics,2
Economics,2
History and Philosophy of Science,2
Toxicology and Pharmaceutics (miscellaneous),2
Business,2
Management and Accounting (all),2
Computer Science (miscellaneous),2
Algebra and Number Theory,2
Experimental and Cognitive Psychology,2
Leadership and Management,2
Health (social science),2
Advanced and Specialized Nursing,2
Law,2
Nature and Landscape Conservation,1
Library and Information Sciences,1
Safety Research,1
Marketing,1
Speech and Hearing,1
Human Factors and Ergonomics,1
Psychiatric Mental Health,1
Philosophy,1
Atmospheric Science,1
Computational Mechanics,1
Issues,1
Life-span and Life-course Studies,1
Geophysics,1
Language and Linguistics,1
Linguistics and Language,1
Endocrine and Autonomic Systems,1
Ethics and Legal Aspects,1
Oncology (nursing),1
Sensory Systems,1
Environmental Science (miscellaneous),1
Decision Sciences (miscellaneous),1
Care Planning,1
Fundamentals and Skills,1
Nursing (miscellaneous),1
Applied Psychology,1
Business and International Management,1
Medical Laboratory Technology,1
Public Administration,1
Analysis,1
Fluid Flow and Transfer Processes,1
Neuropsychology and Physiological Psychology,1
Cognitive Neuroscience,1
Maternity and Midwifery,1
Arts and Humanities (miscellaneous),1
Developmental Neuroscience,1
Earth and Planetary Sciences (miscellaneous),1
Numerical Analysis,1
